GO ID,DO name,asimov genes, menchelab genes, both sets equal?
GO:0048609,multicellular organismal reproductive process,152,322,FALSE
GO:0016043,cellular component organization,3378,5038,FALSE
GO:0098813,nuclear chromosome segregation,7,221,FALSE
GO:0044703,multi-organism reproductive process,49,446,FALSE
GO:0032501,multicellular organismal process,1247,4986,FALSE
GO:0007059,chromosome segregation,53,263,FALSE
GO:0048285,organelle fission,9,392,FALSE
GO:0045132,meiotic chromosome segregation,7,52,FALSE
GO:1903046,meiotic cell cycle process,30,132,FALSE
GO:0071840,cellular component organization or biogenesis,55,5192,FALSE
GO:0022402,cell cycle process,515,1119,FALSE
GO:0048232,male gamete generation,134,234,FALSE
GO:0000280,nuclear division,0,357,FALSE
GO:0022414,reproductive process,367,664,FALSE
GO:0051321,meiotic cell cycle,31,161,FALSE
GO:0007276,gamete generation,144,285,FALSE
GO:0007060,male meiosis chromosome segregation,1,2,FALSE
GO:0006996,organelle organization,1472,3163,FALSE
GO:0000003,reproduction,10,668,FALSE
GO:0019953,sexual reproduction,6,373,FALSE
GO:0007049,cell cycle,156,1361,FALSE
GO:0140013,meiotic nuclear division,0,117,FALSE
GO:0051704,multi-organism process,291,1304,FALSE
GO:0032504,multicellular organism reproduction,0,335,FALSE
GO:0022412,cellular process involved in reproduction in multicellular organism,48,175,FALSE
GO:0007140,male meiotic nuclear division,17,30,FALSE
GO:0008150,biological_process,13001,14378,FALSE
GO:0009987,cellular process,7090,13160,FALSE
GO:0007127,meiosis I,13,82,FALSE
GO:0007135,meiosis II,0,5,FALSE
GO:0070192,chromosome organization involved in meiotic cell cycle,11,35,FALSE
GO:0000819,sister chromatid segregation,29,170,FALSE
GO:0061982,meiosis I cell cycle process,30,87,FALSE
GO:0007062,sister chromatid cohesion,30,49,FALSE
GO:0061983,meiosis II cell cycle process,0,5,FALSE
GO:0010789,meiotic sister chromatid cohesion involved in meiosis I,0,1,FALSE
GO:0051276,chromosome organization,143,906,FALSE
GO:0045144,meiotic sister chromatid segregation,0,5,FALSE
GO:0051177,meiotic sister chromatid cohesion,3,5,FALSE
GO:0016321,female meiosis chromosome segregation,0,1,FALSE
GO:0007143,female meiotic nuclear division,2,10,FALSE
GO:0007292,female gamete generation,14,58,FALSE
GO:0045143,homologous chromosome segregation,4,31,FALSE
GO:0051754,meiotic sister chromatid cohesion; centromeric,2,3,FALSE
GO:0070601,centromeric sister chromatid cohesion,0,10,FALSE
GO:0070887,cellular response to chemical stimulus,0,2403,FALSE
GO:0008152,metabolic process,6215,9039,FALSE
GO:0051716,cellular response to stimulus,2,5762,FALSE
GO:0071466,cellular response to xenobiotic stimulus,1,124,FALSE
GO:0050896,response to stimulus,2633,6912,FALSE
GO:0006805,xenobiotic metabolic process,88,107,FALSE
GO:0044237,cellular metabolic process,2516,8567,FALSE
GO:0042221,response to chemical,1160,3080,FALSE
GO:0009410,response to xenobiotic stimulus,20,140,FALSE
GO:0009056,catabolic process,164,2064,FALSE
GO:0042738,exogenous drug catabolic process,19,22,FALSE
GO:0044248,cellular catabolic process,134,1885,FALSE
GO:0017144,drug metabolic process,133,629,FALSE
GO:0042493,response to drug,172,485,FALSE
GO:0042737,drug catabolic process,32,115,FALSE
GO:0001816,cytokine production,43,534,FALSE
GO:0040011,locomotion,158,1336,FALSE
GO:0048870,cell motility,399,1175,FALSE
GO:0006935,chemotaxis,154,468,FALSE
GO:0006928,movement of cell or subcellular component,670,1567,FALSE
GO:0097529,myeloid leukocyte migration,4,158,FALSE
GO:0016477,cell migration,328,1060,FALSE
GO:0009605,response to external stimulus,475,1491,FALSE
GO:0097530,granulocyte migration,4,109,FALSE
GO:0030593,neutrophil chemotaxis,67,89,FALSE
GO:1990266,neutrophil migration,4,96,FALSE
GO:0042330,taxis,155,469,FALSE
GO:0051179,localization,3017,5185,FALSE
GO:0060326,cell chemotaxis,58,245,FALSE
GO:0051674,localization of cell,0,1175,FALSE
GO:0030595,leukocyte chemotaxis,103,175,FALSE
GO:0071621,granulocyte chemotaxis,70,100,FALSE
GO:0002376,immune system process,1048,2236,FALSE
GO:0050900,leukocyte migration,234,339,FALSE
GO:0019439,aromatic compound catabolic process,6,537,FALSE
GO:1901360,organic cyclic compound metabolic process,0,4661,FALSE
GO:1901575,organic substance catabolic process,0,1703,FALSE
