DO ID,DO name,asimov genes, menchelab genes, both sets equal?
DOID:0001816,angiosarcoma,18,18,TRUE
DOID:0002116,pterygium,3,3,TRUE
DOID:0014667,disease of metabolism,1310,1334,FALSE
DOID:0050004,seminal vesicle acute gonorrhea,0,0,TRUE
DOID:0050012,chikungunya,0,0,TRUE
DOID:0050013,carbohydrate metabolism disease,276,428,FALSE
DOID:0050025,human granulocytic anaplasmosis,0,0,TRUE
DOID:0050026,human monocytic ehrlichiosis,0,0,TRUE
DOID:0050032,mineral metabolism disease,185,185,TRUE
DOID:0050035,African tick-bite fever,0,0,TRUE
DOID:0050041,Astrakhan spotted fever,0,0,TRUE
DOID:0050042,Indian tick typhus,0,0,TRUE
DOID:0050043,Israeli tick typhus,0,0,TRUE
DOID:0050046,Far Eastern spotted fever,0,0,TRUE
DOID:0050047,Flinders Island spotted fever,0,0,TRUE
DOID:0050050,Japanese spotted fever,0,0,TRUE
DOID:0050051,Rickettsia parkeri spotted fever,0,0,TRUE
DOID:0050052,Rocky Mountain spotted fever,0,0,TRUE
DOID:0050059,oropharyngeal anthrax,0,0,TRUE
DOID:0050061,erysipeloid,0,0,TRUE
DOID:0050072,adiaspiromycosis,0,0,TRUE
DOID:0050073,invasive aspergillosis,0,0,TRUE
DOID:0050083,Keshan disease,0,0,TRUE
DOID:0050096,tinea barbae,0,0,TRUE
DOID:0050097,ectothrix infectious disease,0,0,TRUE
DOID:0050105,endothrix infectious disease,0,0,TRUE
DOID:0050116,tinea imbricata,0,0,TRUE
DOID:0050117,disease by infectious agent,259,259,TRUE
DOID:0050118,La Crosse encephalitis,0,0,TRUE
DOID:0050120,hemophagocytic lymphohistiocytosis,4,4,TRUE
DOID:0050125,dengue shock syndrome,0,0,TRUE
DOID:0050127,sinusitis,45,45,TRUE
DOID:0050129,secretory diarrhea,3,3,TRUE
DOID:0050130,osmotic diarrhea,0,0,TRUE
DOID:0050131,motility-related diarrhea,0,0,TRUE
DOID:0050132,inflammatory diarrhea,0,0,TRUE
DOID:0050133,superficial mycosis,0,0,TRUE
DOID:0050134,cutaneous mycosis,0,0,TRUE
DOID:0050135,subcutaneous mycosis,0,0,TRUE
DOID:0050136,systemic mycosis,13,13,TRUE
DOID:0050138,podoconiosis,0,0,TRUE
DOID:0050140,acute diarrhea,0,0,TRUE
DOID:0050141,intestinal botulism,0,0,TRUE
DOID:0050143,asymptomatic dengue,0,0,TRUE
DOID:0050144,Kartagener syndrome,35,35,TRUE
DOID:0050145,adenoiditis,0,0,TRUE
DOID:0050147,otomycosis,0,0,TRUE
DOID:0050148,laryngotracheitis,0,0,TRUE
