node_id,attribute_id,namespace,name,description
16048,4416,DISEASE,"Down syndrome",NULL
16048,5289,DISEASE,adenocarcinoma,NULL
16048,5326,DISEASE,"glioblastoma multiforme",NULL
16048,5331,DISEASE,"giant cell glioblastoma",NULL
16048,5395,DISEASE,"progressive muscular atrophy",NULL
16048,5485,DISEASE,"amyotrophic lateral sclerosis",NULL
16048,6347,DISEASE,"granular cell carcinoma",NULL
16048,6367,DISEASE,"tubular adenocarcinoma",NULL
16048,6809,DISEASE,"cribriform carcinoma",NULL
16048,7216,DISEASE,adenoma,NULL
16048,8052,DISEASE,neuropathy,NULL
16048,18315,biological_process,"platelet degranulation",""The regulated exocytosis of secretory granules containing preformed mediators such as histamine and serotonin by a platelet." [GOC:add]"
16048,20682,cellular_component,"extracellular region",""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite." [GOC:go_curators]"
16048,20719,cellular_component,"extracellular space",""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid." [ISBN:0198547684]"
16048,31027,cellular_component,"platelet alpha granule lumen",""The volume enclosed by the membrane of the platelet alpha granule." [GOC:mah, PMID:8467233]"
16048,34568,cellular_component,"secretory granule lumen",""The volume enclosed by the membrane of a secretory granule." [GOC:rph]"
16048,37939,biological_process,"neutrophil degranulation",""The regulated exocytosis of secretory granules containing preformed mediators such as proteases, lipases, and inflammatory mediators by a neutrophil." [ISBN:0781735149]"
16048,48069,cellular_component,"collagen-containing extracellular matrix",""An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells." [GOC:BHF, GOC:rph, PMID:21123617]"
16048,48171,cellular_component,"extracellular exosome",""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm." [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"
16048,50607,cellular_component,"blood microparticle",""A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids." [GOC:BHF, GOC:mah, PMID:16373184]"
16048,60283,cellular_component,"ficolin-1-rich granule lumen",""Any membrane-enclosed lumen that is part of a ficolin-1-rich granule." [GO_REF:0000064, GOC:TermGenie, PMID:23650620]"
17834,119,DISEASE,"familial adenomatous polyposis",NULL
17834,119,DISEASE,"familial adenomatous polyposis",NULL
17834,138,DISEASE,"hereditary mucosal leukokeratosis",NULL
17834,171,DISEASE,exanthem,NULL
17834,241,DISEASE,"inflammatory bowel disease",NULL
17834,241,DISEASE,"inflammatory bowel disease",NULL
17834,241,DISEASE,"inflammatory bowel disease",NULL
17834,346,DISEASE,cardiomyopathy,NULL
17834,385,DISEASE,"alcohol dependence",NULL
17834,386,DISEASE,"nicotine dependence",NULL
17834,508,DISEASE,"tongue squamous cell carcinoma",NULL
17834,694,DISEASE,lymphoma,NULL
17834,694,DISEASE,lymphoma,NULL
17834,695,DISEASE,"non-Hodgkin lymphoma",NULL
17834,748,DISEASE,"pharynx cancer",NULL
17834,819,DISEASE,"Crohn's colitis",NULL
17834,820,DISEASE,"amyotrophic lateral sclerosis type 1",NULL
17834,821,DISEASE,"amyotrophic lateral sclerosis type 2",NULL
17834,823,DISEASE,"amyotrophic lateral sclerosis type 4",NULL
17834,889,DISEASE,"gallbladder disease",NULL
17834,953,DISEASE,myelomeningocele,NULL
17834,1467,DISEASE,"bone disease",NULL
17834,1596,DISEASE,"childhood acute lymphocytic leukemia",NULL
17834,1825,DISEASE,"Alzheimer's disease 2",NULL
17834,1827,DISEASE,"Alzheimer's disease 5",NULL
17834,1828,DISEASE,"Alzheimer's disease 6",NULL
17834,1829,DISEASE,"Alzheimer's disease 7",NULL
17834,1831,DISEASE,"Alzheimer's disease 8",NULL
17834,1833,DISEASE,"Alzheimer's disease 10",NULL
17834,1834,DISEASE,"Alzheimer's disease 11",NULL
17834,1835,DISEASE,"Alzheimer's disease 12",NULL
17834,1836,DISEASE,"Alzheimer's disease 13",NULL
17834,1837,DISEASE,"Alzheimer's disease 14",NULL
17834,1838,DISEASE,"Alzheimer's disease 15",NULL
17834,2002,DISEASE,"isolated cleft palate",NULL
17834,2512,DISEASE,"type 1 diabetes mellitus 2",NULL
17834,2513,DISEASE,"type 1 diabetes mellitus 3",NULL
17834,2514,DISEASE,"type 1 diabetes mellitus 4",NULL
17834,2515,DISEASE,"type 1 diabetes mellitus 5",NULL
17834,2516,DISEASE,"type 1 diabetes mellitus 6",NULL
17834,2517,DISEASE,"type 1 diabetes mellitus 7",NULL
17834,2518,DISEASE,"type 1 diabetes mellitus 8",NULL
17834,2519,DISEASE,"type 1 diabetes mellitus 10",NULL
17834,2520,DISEASE,"type 1 diabetes mellitus 11",NULL
17834,2521,DISEASE,"type 1 diabetes mellitus 12",NULL
17834,2522,DISEASE,"type 1 diabetes mellitus 13",NULL
17834,2523,DISEASE,"type 1 diabetes mellitus 15",NULL
17834,2524,DISEASE,"type 1 diabetes mellitus 17",NULL
17834,2525,DISEASE,"type 1 diabetes mellitus 18",NULL
17834,2526,DISEASE,"type 1 diabetes mellitus 19",NULL
17834,2527,DISEASE,"type 1 diabetes mellitus 20",NULL
17834,2528,DISEASE,"type 1 diabetes mellitus 21",NULL
17834,2529,DISEASE,"type 1 diabetes mellitus 22",NULL
17834,2530,DISEASE,"type 1 diabetes mellitus 23",NULL
17834,2531,DISEASE,"type 1 diabetes mellitus 24",NULL
17834,2908,DISEASE,"sensorineural hearing loss",NULL
17834,2908,DISEASE,"sensorineural hearing loss",NULL
17834,2908,DISEASE,"sensorineural hearing loss",NULL
17834,3012,DISEASE,"prostate cancer",NULL
17834,3012,DISEASE,"prostate cancer",NULL
17834,3012,DISEASE,"prostate cancer",NULL
17834,3013,DISEASE,"prostate carcinoma",NULL
17834,3013,DISEASE,"prostate carcinoma",NULL
17834,3013,DISEASE,"prostate carcinoma",NULL
17834,3016,DISEASE,"familial periodic paralysis",NULL
17834,3047,DISEASE,"breast fibrocystic disease",NULL
17834,3052,DISEASE,"lymphoblastic leukemia",NULL
17834,3064,DISEASE,"chronic lymphocytic leukemia",NULL
17834,3100,DISEASE,"stomach cancer",NULL
17834,3100,DISEASE,"stomach cancer",NULL
17834,3100,DISEASE,"stomach cancer",NULL
17834,3124,DISEASE,pre-eclampsia,NULL
17834,3155,DISEASE,"Alzheimer's disease",NULL
17834,3175,DISEASE,"kidney failure",NULL
17834,3183,DISEASE,hypertension,NULL
17834,3212,DISEASE,"essential hypertension",NULL
17834,3230,DISEASE,"age related macular degeneration",NULL
17834,3238,DISEASE,"tethered spinal cord syndrome",NULL
17834,3277,DISEASE,"membranous glomerulonephritis",NULL
17834,3277,DISEASE,"membranous glomerulonephritis",NULL
17834,3302,DISEASE,"urinary bladder cancer",NULL
17834,3302,DISEASE,"urinary bladder cancer",NULL
17834,3302,DISEASE,"urinary bladder cancer",NULL
17834,3306,DISEASE,"esophageal carcinoma",NULL
17834,3306,DISEASE,"esophageal carcinoma",NULL
17834,3336,DISEASE,cholecystolithiasis,NULL
17834,3359,DISEASE,"esophageal varix",NULL
17834,3424,DISEASE,pneumocystosis,NULL
17834,3438,DISEASE,"spinal meningioma",NULL
17834,3498,DISEASE,chondrocalcinosis,NULL
17834,3541,DISEASE,"heart cancer",NULL
17834,3570,DISEASE,choledocholithiasis,NULL
17834,3605,DISEASE,clubfoot,NULL
17834,3618,DISEASE,"Pick's disease",NULL
17834,3634,DISEASE,"head and neck cancer",NULL
17834,3634,DISEASE,"head and neck cancer",NULL
17834,3644,DISEASE,"hypertrophic cardiomyopathy",NULL
17834,3729,DISEASE,"cartilage disease",NULL
17834,3771,DISEASE,"male infertility",NULL
17834,3805,DISEASE,leukemia,NULL
17834,3821,DISEASE,"blood coagulation disease",NULL
17834,3842,DISEASE,"hepatitis A",NULL
17834,3879,DISEASE,"acoustic neuroma",NULL
17834,3930,DISEASE,"Huntington's disease",NULL
17834,3935,DISEASE,"neurodegenerative disease",NULL
17834,3951,DISEASE,"endomyocardial fibrosis",NULL
17834,4038,DISEASE,"brain cancer",NULL
17834,4038,DISEASE,"brain cancer",NULL
17834,4055,DISEASE,"lung cancer",NULL
17834,4055,DISEASE,"lung cancer",NULL
17834,4055,DISEASE,"lung cancer",NULL
17834,4057,DISEASE,"Behcet's disease",NULL
17834,4060,DISEASE,"bronchus cancer",NULL
17834,4152,DISEASE,"tuberous sclerosis",NULL
17834,4326,DISEASE,"alcoholic liver cirrhosis",NULL
17834,4423,DISEASE,"oral candidiasis",NULL
17834,4446,DISEASE,"Marfan syndrome",NULL
17834,4449,DISEASE,"Parkinson's disease",NULL
17834,4473,DISEASE,"cerebral degeneration",NULL
17834,4511,DISEASE,"Reye syndrome",NULL
17834,4530,DISEASE,papilledema,NULL
17834,4588,DISEASE,"gingival disease",NULL
17834,4595,DISEASE,"disease of mental health",NULL
17834,4596,DISEASE,candidiasis,NULL
17834,4604,DISEASE,"colon carcinoma",NULL
17834,4604,DISEASE,"colon carcinoma",NULL
17834,4646,DISEASE,keratosis,NULL
17834,4647,DISEASE,"breast cancer",NULL
17834,4647,DISEASE,"breast cancer",NULL
17834,4647,DISEASE,"breast cancer",NULL
17834,4687,DISEASE,"musculoskeletal system disease",NULL
17834,4692,DISEASE,"Richter's syndrome",NULL
17834,4707,DISEASE,acanthoma,NULL
17834,4710,DISEASE,"squamous cell carcinoma",NULL
17834,4710,DISEASE,"squamous cell carcinoma",NULL
17834,4728,DISEASE,"thyroid cancer",NULL
17834,4728,DISEASE,"thyroid cancer",NULL
17834,4728,DISEASE,"thyroid cancer",NULL
17834,4734,DISEASE,"malignant mesothelioma",NULL
17834,4734,DISEASE,"malignant mesothelioma",NULL
17834,4734,DISEASE,"malignant mesothelioma",NULL
17834,4737,DISEASE,"pancreatic cancer",NULL
17834,4737,DISEASE,"pancreatic cancer",NULL
17834,4741,DISEASE,"islet cell tumor",NULL
17834,4743,DISEASE,"ossifying fibroma",NULL
17834,4752,DISEASE,epilepsy,NULL
17834,4756,DISEASE,"diabetic ketoacidosis",NULL
17834,4756,DISEASE,"diabetic ketoacidosis",NULL
17834,4777,DISEASE,"sigmoid neoplasm",NULL
17834,4796,DISEASE,"reproductive organ cancer",NULL
17834,4803,DISEASE,atherosclerosis,NULL
17834,4819,DISEASE,"rectal neoplasm",NULL
17834,4819,DISEASE,"rectal neoplasm",NULL
17834,4822,DISEASE,"rectum cancer",NULL
17834,4822,DISEASE,"rectum cancer",NULL
17834,4824,DISEASE,"rectum adenocarcinoma",NULL
17834,4831,DISEASE,"degeneration of macula and posterior pole",NULL
17834,4843,DISEASE,"hepatitis B",NULL
17834,4847,DISEASE,hyperostosis,NULL
17834,4918,DISEASE,"colon cancer",NULL
17834,4918,DISEASE,"colon cancer",NULL
17834,4941,DISEASE,hepatitis,NULL
17834,4960,DISEASE,"lateral sclerosis",NULL
17834,4964,DISEASE,"motor neuron disease",NULL
17834,4980,DISEASE,"arteriosclerotic cardiovascular disease",NULL
17834,4981,DISEASE,arteriosclerosis,NULL
17834,4982,DISEASE,"colonic benign neoplasm",NULL
17834,4982,DISEASE,"colonic benign neoplasm",NULL
17834,4986,DISEASE,anemia,NULL
17834,4987,DISEASE,"macrocytic anemia",NULL
17834,5002,DISEASE,"ovarian cancer",NULL
17834,5002,DISEASE,"ovarian cancer",NULL
17834,5042,DISEASE,"senile angioma",NULL
17834,5081,DISEASE,"Langerhans-cell histiocytosis",NULL
17834,5089,DISEASE,"larynx cancer",NULL
17834,5089,DISEASE,"larynx cancer",NULL
17834,5089,DISEASE,"larynx cancer",NULL
17834,5091,DISEASE,"laryngeal benign neoplasm",NULL
17834,5091,DISEASE,"laryngeal benign neoplasm",NULL
17834,5095,DISEASE,"laryngeal carcinoma",NULL
17834,5095,DISEASE,"laryngeal carcinoma",NULL
17834,5106,DISEASE,"kidney cancer",NULL
