id	external_id	name	symbol	node_id	attribute_id
6657	57217	tetratricopeptide repeat domain 7A	TTC7A	6657	87916
5121	987	LPS responsive beige-like anchor protein	LRBA	5121	87916
1029	6813	syntaxin binding protein 2	STXBP2	1029	87916
19462	5993	regulatory factor X5	RFX5	19462	87916
19463	8625	regulatory factor X associated ankyrin containing protein	RFXANK	19463	87916
19464	5994	regulatory factor X associated protein	RFXAP	19464	87916
17929	10725	nuclear factor of activated T-cells 5	NFAT5	17929	87916
17417	10747	mannan binding lectin serine peptidase 2	MASP2	17417	87916
11787	91442	Fanconi anemia core complex associated protein 24	FAAP24	11787	87916
12820	1789	DNA methyltransferase 3 beta	DNMT3B	12820	87916
12821	28956	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	LAMTOR2	12821	87916
17944	4790	nuclear factor kappa B subunit 1	NFKB1	17944	87916
2073	7535	zeta chain of T cell receptor associated protein kinase 70	ZAP70	2073	87916
17946	4792	NFKB inhibitor alpha	NFKBIA	17946	87916
18459	537	ATPase H+ transporting accessory protein 1	ATP6AP1	18459	87916
18978	5551	perforin 1	PRF1	18978	87916
10274	84876	ORAI calcium release-activated calcium modulator 1	ORAI1	10274	87916
16424	3507	immunoglobulin heavy constant mu	IGHM	16424	87916
9769	1075	cathepsin C	CTSC	9769	87916
7209	55636	chromodomain helicase DNA binding protein 7	CHD7	7209	87916
17457	4173	minichromosome maintenance complex component 4	MCM4	17457	87916
15413	6890	transporter 1, ATP binding cassette subfamily B member	TAP1	15413	87916
17462	4179	CD46 molecule	CD46	17462	87916
6204	130340	adaptor related protein complex 1 sigma 3 subunit	AP1S3	6204	87916
15937	3070	helicase, lymphoid-specific	HELLS	15937	87916
19009	5580	protein kinase C delta	PRKCD	19009	87916
4675	966	CD59 molecule	CD59	4675	87916
76	6097	RAR related orphan receptor C	RORC	76	87916
3663	11005	serine peptidase inhibitor, Kazal type 5	SPINK5	3663	87916
15952	3075	complement factor H	CFH	15952	87916
8277	79633	FAT atypical cadherin 4	FAT4	8277	87916
3159	11311	vacuolar protein sorting 45 homolog	VPS45	3159	87916
4700	10456	HCLS1 associated protein X-1	HAX1	4700	87916
9823	81790	ring finger protein 170	RNF170	9823	87916
1121	6892	TAP binding protein	TAPBP	1121	87916
18020	4860	purine nucleoside phosphorylase	PNP	18020	87916
17510	10095	actin related protein 2/3 complex subunit 1B	ARPC1B	17510	87916
1129	6901	tafazzin	TAZ	1129	87916
5225	64858	DNA cross-link repair 1B	DCLRE1B	5225	87916
5226	64421	DNA cross-link repair 1C	DCLRE1C	5226	87916
8300	201294	unc-13 homolog D	UNC13D	8300	87916
4717	10525	hypoxia up-regulated 1	HYOU1	4717	87916
8305	83706	fermitin family member 3	FERMT3	8305	87916
1137	29110	TANK binding kinase 1	TBK1	1137	87916
16499	8546	adaptor related protein complex 3 beta 1 subunit	AP3B1	16499	87916
3190	83879	cell division cycle associated 7	CDCA7	3190	87916
13430	81570	ClpB homolog, mitochondrial AAA ATPase chaperonin	CLPB	13430	87916
1144	6899	T-box 1	TBX1	1144	87916
17528	4261	class II major histocompatibility complex transactivator	CIITA	17528	87916
10874	1604	CD55 molecule (Cromer blood group)	CD55	10874	87916
18555	5184	peptidase D	PEPD	18555	87916
15482	6891	transporter 2, ATP binding cassette subfamily B member	TAP2	15482	87916
18047	472	ATM serine/threonine kinase	ATM	18047	87916
16512	3514	immunoglobulin kappa constant	IGKC	16512	87916
10883	165918	ring finger protein 168	RNF168	10883	87916
5767	1051	CCAAT/enhancer binding protein beta	CEBPB	5767	87916
11401	1675	complement factor D	CFD	11401	87916
5772	148022	toll like receptor adaptor molecule 1	TICAM1	5772	87916
19085	5663	presenilin 1	PSEN1	19085	87916
141	629	complement factor B	CFB	141	87916
