1,1,41,ASIC1,acid sensing ion channel subunit 1,13,ligand-gated sodium channel activity|acid-sensing ion channel activity,brain ischemia,ppi
2,2,5999,RGS4,regulator of G-protein signaling 4,14,calmodulin binding,alcohol dependence|alcohol abuse|bipolar disorder|endometriosis of uterus|endometriosis|schizophrenia,ppi
3,3,8490,RGS5,regulator of G-protein signaling 5,7,GTPase activator activity,hypertension|essential hypertension|schizophrenia,ppi
4,4,9628,RGS6,regulator of G-protein signaling 6,14,GTPase activator activity,mood disorder,ppi
5,5,6000,RGS7,regulator of G-protein signaling 7,19,GTPase activator activity,intellectual disability|learning disability,ppi
6,6,8787,RGS9,regulator of G-protein signaling 9,10,,drug psychosis|schizophrenia|blindness|asthenopia|bradyopsia,ppi
7,7,6005,RHAG,Rh-associated glycoprotein,5,ammonium transmembrane transporter activity|leak channel activity|carbon dioxide transmembrane transporter activity,hemolytic anemia|Rh deficiency syndrome,ppi
8,8,9028,RHBDL1,rhomboid like 1,5,,,ppi
9,10,6007,RHD,Rh blood group D antigen,2,ammonium transmembrane transporter activity,favism|hereditary elliptocytosis|hemoglobinopathy|congenital hemolytic anemia|schizophrenia|Rh deficiency syndrome,ppi
10,11,604,BCL6,B-cell CLL/lymphoma 6,123,DNA-binding transcription factor activity; RNA polymerase II-specific|chromatin binding|DNA-binding transcription factor activity|sequence-specific DNA binding|DNA binding|RNA polymerase II regulatory region sequence-specific DNA binding|DNA-binding transcription repressor activity; RNA polymerase II-specific,lymphosarcoma|lymphoma|central nervous system lymphoma|Langerhans-cell histiocytosis|reticulosarcoma|non-Hodgkin lymphoma|B-cell lymphoma,ppi
11,12,6009,RHEB,Ras homolog enriched in brain,47,magnesium ion binding|GTPase activity|GTP binding|GDP binding,lung cancer|non-small cell lung carcinoma,ppi
