id,external_id,name,symbol,node_id,attribute_id
5121,987,"LPS responsive beige-like anchor protein",LRBA,5121,87975
6657,57217,"tetratricopeptide repeat domain 7A",TTC7A,6657,87975
1029,6813,"syntaxin binding protein 2",STXBP2,1029,87975
19462,5993,"regulatory factor X5",RFX5,19462,87975
19463,8625,"regulatory factor X associated ankyrin containing protein",RFXANK,19463,87975
19464,5994,"regulatory factor X associated protein",RFXAP,19464,87975
17417,10747,"mannan binding lectin serine peptidase 2",MASP2,17417,87975
17929,10725,"nuclear factor of activated T-cells 5",NFAT5,17929,87975
11787,91442,"Fanconi anemia core complex associated protein 24",FAAP24,11787,87975
12820,1789,"DNA methyltransferase 3 beta",DNMT3B,12820,87975
12821,28956,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2",LAMTOR2,12821,87975
17944,4790,"nuclear factor kappa B subunit 1",NFKB1,17944,87975
2073,7535,"zeta chain of T cell receptor associated protein kinase 70",ZAP70,2073,87975
17946,4792,"NFKB inhibitor alpha",NFKBIA,17946,87975
18459,537,"ATPase H+ transporting accessory protein 1",ATP6AP1,18459,87975
10274,84876,"ORAI calcium release-activated calcium modulator 1",ORAI1,10274,87975
7209,55636,"chromodomain helicase DNA binding protein 7",CHD7,7209,87975
9769,1075,"cathepsin C",CTSC,9769,87975
17457,4173,"minichromosome maintenance complex component 4",MCM4,17457,87975
17462,4179,"CD46 molecule",CD46,17462,87975
6204,130340,"adaptor related protein complex 1 sigma 3 subunit",AP1S3,6204,87975
15937,3070,"helicase, lymphoid-specific",HELLS,15937,87975
19009,5580,"protein kinase C delta",PRKCD,19009,87975
4675,966,"CD59 molecule",CD59,4675,87975
76,6097,"RAR related orphan receptor C",RORC,76,87975
3663,11005,"serine peptidase inhibitor, Kazal type 5",SPINK5,3663,87975
15952,3075,"complement factor H",CFH,15952,87975
8277,79633,"FAT atypical cadherin 4",FAT4,8277,87975
3159,11311,"vacuolar protein sorting 45 homolog",VPS45,3159,87975
4700,10456,"HCLS1 associated protein X-1",HAX1,4700,87975
9823,81790,"ring finger protein 170",RNF170,9823,87975
1121,6892,"TAP binding protein",TAPBP,1121,87975
17510,10095,"actin related protein 2/3 complex subunit 1B",ARPC1B,17510,87975
5225,64858,"DNA cross-link repair 1B",DCLRE1B,5225,87975
5226,64421,"DNA cross-link repair 1C",DCLRE1C,5226,87975
8300,201294,"unc-13 homolog D",UNC13D,8300,87975
